Number of components,Type of covariance,BIC score
1,spherical,266.5643865379906
2,spherical,-3004.826716402051
3,spherical,-3056.275824489531
4,spherical,-3024.3876557027857
5,spherical,-2968.9242011867505
6,spherical,-2945.121690682407
1,tied,266.56438653799063
2,tied,292.8778941455188
3,tied,-92.23434464128904
4,tied,364.74038011693864
5,tied,378.971825086234
6,tied,41.38535159914736
1,diag,266.5643865379906
2,diag,-3004.826715639224
3,diag,-3056.275824489531
4,diag,-3024.0184800034735
5,diag,-2971.9999438804666
6,diag,-2933.6565725111273
1,full,266.56438653799063
2,full,-3004.8267156392308
3,full,-3056.4540396500147
4,full,-3025.6555270731933
5,full,-2969.898105549869
6,full,-2943.495800019493
