Number of components,Type of covariance,BIC score
1,spherical,798.9923269901053
2,spherical,753.1139687262519
3,spherical,937.3033642056387
4,spherical,1291.317105540811
5,spherical,1434.2868403497748
6,spherical,1517.0761370268817
1,tied,798.9923269901085
2,tied,857.5130598769887
3,tied,1107.0459247950325
4,tied,1296.3912900283146
5,tied,1618.3145616374525
6,tied,1731.572518927815
1,diag,798.9923269901053
2,diag,754.0917561819591
3,diag,947.1359192380318
4,diag,1306.0377190071201
5,diag,1481.539469593225
6,diag,1511.7837315209752
1,full,798.9923269901165
2,full,754.0917561818666
3,full,921.145525713159
4,full,1289.855602212325
5,full,1482.7018777348283
6,full,1496.7414584995995
