Number of components,Type of covariance,BIC score
1,spherical,579.2809500548932
2,spherical,-726.0610771005801
3,spherical,-702.6451753656111
4,spherical,-608.2825133425092
5,spherical,-486.6157562862951
6,spherical,-439.72129901177806
1,tied,579.2809500548932
2,tied,816.9143556409159
3,tied,797.8964558558735
4,tied,1094.6281137303188
5,tied,1302.9800415952518
6,tied,1333.576063007666
1,diag,579.2809500548932
2,diag,-202.03744909051164
3,diag,-702.6839626309891
4,diag,-545.634550243822
5,diag,-522.722510132887
6,diag,-422.89544609410603
1,full,579.2809500548931
2,full,-726.0610771057052
3,full,-702.6839626310878
4,full,-610.6017348131775
5,full,-503.0500722421508
6,full,-372.8898514989761
