Number of components,Type of covariance,BIC score
1,spherical,217.16988115091345
2,spherical,717.2148111684683
3,spherical,1045.1328478400892
4,spherical,1608.6316159781472
5,spherical,2936.211637347546
6,spherical,3174.8364473023453
1,tied,217.16988115091323
2,tied,738.3398067755248
3,tied,1042.1572240899598
4,tied,1327.6051167044384
5,tied,1378.1305256488054
6,tied,2708.0128044271737
1,diag,217.16988115091345
2,diag,691.5892067666362
3,diag,1081.2705380780365
4,diag,1569.9258760217272
5,diag,2213.188180184484
6,diag,3317.863943188563
1,full,217.16988115091584
2,full,691.5892067666797
3,full,1057.5926903562508
4,full,1592.4137148002478
5,full,2950.5840168687355
6,full,4284.968261102038
