Number of components,Type of covariance,BIC score
1,spherical,-332.49289768253055
2,spherical,170.1263235130908
3,spherical,675.2029977166583
4,spherical,1239.216874259527
5,spherical,1840.2809277378715
6,spherical,2417.215595774121
1,tied,-332.4928976825332
2,tied,-17.741301474082093
3,tied,277.492670880961
4,tied,430.7227854317942
5,tied,897.2641466464081
6,tied,1345.5348359131344
1,diag,-332.49289768253055
2,diag,170.33832754352926
3,diag,675.2029977166371
4,diag,1216.3421618678572
5,diag,1760.8815168588321
6,diag,2631.724012804532
1,full,-332.4928976825472
2,full,170.06746564731134
3,full,680.4865875340508
4,full,1257.5742427081373
5,full,1676.9883052671732
6,full,2521.9856226269
