Number of components,Type of covariance,BIC score
1,spherical,559.0459269080841
2,spherical,-193.6072376501283
3,spherical,-353.3350182867699
4,spherical,-167.28274307178884
5,spherical,119.00592710254068
6,spherical,145.83557145262392
1,tied,559.0459269080842
2,tied,823.2475195681958
3,tied,757.3817418613845
4,tied,925.6961104619022
5,tied,1315.2482110210663
6,tied,1395.0968236761635
1,diag,559.0459269080841
2,diag,-585.6380413326001
3,diag,-353.3350182867696
4,diag,-167.54225158435057
5,diag,156.97662788703036
6,diag,196.6248672069674
1,full,559.0459269080839
2,full,834.0017284573347
3,full,-353.33501828671336
4,full,-167.66233315265094
5,full,125.4807570883163
6,full,431.14081056872
