Number of components,Type of covariance,BIC score
1,spherical,-292.2260158982572
2,spherical,212.21553365616265
3,spherical,682.5026394896423
4,spherical,1261.2640108543812
5,spherical,1799.1694901717906
6,spherical,2278.665956685859
1,tied,-292.2260158982623
2,tied,28.75193290821767
3,tied,343.7386360892697
4,tied,548.0492857709845
5,tied,821.5725229957283
6,tied,1229.5987850045603
1,diag,-292.2260158982572
2,diag,210.26516827558493
3,diag,684.9180718474963
4,diag,1145.6518081762197
5,diag,1778.7597160355392
6,diag,2340.6988194401833
1,full,-292.22601589825683
2,full,212.21553365594355
3,full,678.7191563982713
4,full,1167.0575383815644
5,full,1786.5255388707228
6,full,2229.1697292453136
