Number of components,Type of covariance,BIC score
1,spherical,-304.77020642254354
2,spherical,271.42458595601005
3,spherical,890.2794881372247
4,spherical,1611.0301836412139
5,spherical,2111.7188912164606
6,spherical,3118.1561352591025
1,tied,-304.77020642253984
2,tied,72.81703072628571
3,tied,374.57052144055103
4,tied,696.5670187828076
5,tied,1153.7912047839563
6,tied,1527.0224744250145
1,diag,-304.77020642254354
2,diag,272.8123132048477
3,diag,886.324160160111
4,diag,1612.8693257113264
5,diag,2268.398103842045
6,diag,3632.8227244267755
1,full,-304.7702064225428
2,full,272.27684946896244
3,full,890.400572617364
4,full,1591.1417185922014
5,full,2035.656672285583
6,full,2738.1130723359365
