Number of components,Type of covariance,BIC score
1,spherical,553.9209103881616
2,spherical,144.72756531430605
3,spherical,-1035.9425594500517
4,spherical,-1015.0368839676132
5,spherical,-1013.4024011048787
6,spherical,-989.1540692797602
1,tied,553.9209103881616
2,tied,753.5626777770719
3,tied,313.996683731293
4,tied,397.9385265960208
5,tied,403.7276066144348
6,tied,347.77824435866984
1,diag,553.9209103881616
2,diag,605.0841410402023
3,diag,-1035.9425594500517
4,diag,-1015.1830462001774
5,diag,-990.0203015202509
6,diag,-991.8151787249305
1,full,553.9209103881618
2,full,149.02440849609013
3,full,-1035.942559450046
4,full,-1015.0526940949042
5,full,-997.3153373047759
6,full,-991.2096609239206
