Number of components,Type of covariance,BIC score
1,spherical,-321.4911213239415
2,spherical,197.68700270051326
3,spherical,817.4072698326988
4,spherical,1403.1589852152815
5,spherical,2235.8023915002777
6,spherical,2713.2476848003184
1,tied,-321.491121323946
2,tied,3.9435137598567964
3,tied,332.9533238666775
4,tied,732.2323927884587
5,tied,947.6064690576344
6,tied,1308.440870297391
1,diag,-321.4911213239415
2,diag,199.1180681535328
3,diag,818.5636159955677
4,diag,1478.1464800578492
5,diag,2293.748392432945
6,diag,2914.15327738096
1,full,-321.4911213239197
2,full,199.11806815336885
3,full,835.184503243406
4,full,1471.5335956144256
5,full,2317.608182431304
6,full,2514.589266330078
