Number of components,Type of covariance,BIC score
1,spherical,-2705.6791418569787
2,spherical,-2689.40694081546
3,spherical,-2673.134739773942
4,spherical,-2656.862538732423
5,spherical,-2640.590337690904
6,spherical,-2624.3181366493855
1,tied,-2705.6791418569787
2,tied,-2694.8310078293002
3,tied,-2683.982873801621
4,tied,-2673.134739773942
5,tied,-2662.2866057462625
6,tied,-2651.438471718583
1,diag,-2705.6791418569787
2,diag,-2689.40694081546
3,diag,-2673.134739773942
4,diag,-2656.862538732423
5,diag,-2640.590337690904
6,diag,-2624.3181366493855
1,full,-2705.6791418569787
2,full,-2689.40694081546
3,full,-2673.134739773942
4,full,-2656.862538732423
5,full,-2640.590337690904
6,full,-2624.3181366493855
