Number of components,Type of covariance,BIC score
1,spherical,528.6172050229195
2,spherical,323.1795776631804
3,spherical,-210.89140118146474
4,spherical,-117.32277560388438
5,spherical,-27.091740069848846
6,spherical,205.4780520040794
1,tied,528.6172050229197
2,tied,743.5734711230264
3,tied,696.9490307464159
4,tied,839.2083190288671
5,tied,1089.3608359945563
6,tied,1484.7198639134815
1,diag,528.6172050229195
2,diag,445.625760374263
3,diag,-210.89140118146497
4,diag,35.63206888468253
5,diag,-76.36118434676433
6,diag,278.5671174287156
1,full,528.6172050229197
2,full,445.62576037430244
3,full,-210.89140118163095
4,full,-117.52914201976083
5,full,88.76894624342258
6,full,199.6363782695559
