Number of components,Type of covariance,BIC score
1,spherical,765.4329798448316
2,spherical,-172.73799300676328
3,spherical,-1227.0057469804956
4,spherical,-1189.1246914976002
5,spherical,-1199.0775673143319
6,spherical,-1140.8618072587892
1,tied,765.4329798448314
2,tied,5948.4285032776215
3,tied,7935.358051075792
4,tied,2289.8278778956173
5,tied,3580.5948417694353
6,tied,5115.1175477554025
1,diag,765.4329798448316
2,diag,-172.73804729742588
3,diag,-1227.0661520268882
4,diag,-1187.848824944344
5,diag,-1184.4190071461146
6,diag,-1208.0314899952077
1,full,765.4329798448315
2,full,-172.73804729742477
3,full,-1227.0661520268936
4,full,-1189.2333868755118
5,full,-1166.194637664948
6,full,-1190.7983021131918
